"item_id","path_or_entry","category","role","git_tracked","review_status","version_or_provenance","scientific_claim","inspection_method_scope","finding_or_reason"
"FIG-TRACKED-I1_sigma_budget","audit/implementation/figures/I1_sigma_budget.png","tracked figure","sigma regimes and exclusion sets","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","certificate failure is not general impossibility","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-I1_before_after","audit/implementation/figures/I1_before_after.png","tracked figure","INC-0 behavior payoff budget","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","endpoint near target, not identical","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-I1_INC_omega","audit/implementation/figures/I1_INC_omega.png","tracked figure","different-game omega supplement","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","not a one-factor omega comparison","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-R1-T1_cube_face_correspondence","results/r1/20260919-review-pack/figures/T1_cube_face_correspondence.png","R1 clean figure","T1 cube face edge vertex mapping","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","paper parameters; theorem-backed mapping, finite-grid diagnostic","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-T1_prism_face_correspondence","results/r1/20260919-review-pack/figures/T1_prism_face_correspondence.png","R1 clean figure","T1 prism face edge vertex mapping","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","paper parameters; theorem-backed mapping, finite-grid diagnostic","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-T1_production_pollution","results/r1/20260919-review-pack/figures/T1_production_pollution.png","R1 clean figure","production-pollution application","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","purple is weighted Nash image, not social Pareto","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-T1_nonquadratic_schematic","results/r1/20260919-review-pack/figures/T1_nonquadratic_schematic.png","R1 clean figure","nonquadratic scope schematic","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","schematic only; no numerical model asserted","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-S1_five_case_overview","results/r1/20260919-review-pack/figures/S1_five_case_overview.png","R1 clean figure","four stable and one unstable construction","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","identity uses slopes, branches, eigenstructure and cones","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-S1_eigenvectors_transitions","results/r1/20260919-review-pack/figures/S1_eigenvectors_transitions.png","R1 clean figure","branch eigenvectors and transitions","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","coordinates do not remove unstable active ray","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-S2_rank_degenerate_five_cases","results/r1/20260919-review-pack/figures/S2_rank_degenerate_five_cases.png","R1 clean figure","rank-zero five-case construction","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","new construction under Assumption 4","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-S2_noncompact_three_configurations","results/r1/20260919-review-pack/figures/S2_noncompact_three_configurations.png","R1 clean figure","noncompact constructions","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","mixed determinant signs plus Proposition 3.1, not window","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-P1_three_payoff_properties","results/r1/20260919-review-pack/figures/P1_three_payoff_properties.png","R1 clean figure","nonweak/all/weak comparison","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","new exact family; not exact thesis Fig 4.3","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-P1_rate_decomposition","results/r1/20260919-review-pack/figures/P1_rate_decomposition.png","R1 clean figure","total equals own plus externality","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","own contribution differs from full payoff derivative","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-P1_weak_pareto_trap","results/r1/20260919-review-pack/figures/P1_weak_pareto_trap.png","R1 clean figure","legacy-rule cross-time trap","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","finite-grid weak-at-every-time evidence","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-X1_domain_map","results/r1/20260919-review-pack/figures/X1_domain_map.png","R1 clean figure","original domains to local image subsets","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","local image subsets; no whole-quadrant surjectivity","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-X1_fiber_collapse","results/r1/20260919-review-pack/figures/X1_fiber_collapse.png","R1 clean figure","rank-one fibers collapse","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","inverse on axes is set-valued","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-X1_trajectories_lyapunov","results/r1/20260919-review-pack/figures/X1_trajectories_lyapunov.png","R1 clean figure","x eta(x) and independent z","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","mapped and independently integrated paths differ","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-I1_design_geometry","results/r1/20260919-review-pack/figures/I1_design_geometry.png","R1 clean figure","social Pareto Nash omega target geometry","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","social Pareto and decentralized Nash remain distinct","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-I1_sigma_budget","results/r1/20260919-review-pack/figures/I1_sigma_budget.png","R1 clean figure","sigma regimes and exclusion sets","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","certificate failure is not general impossibility","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-I1_before_after","results/r1/20260919-review-pack/figures/I1_before_after.png","R1 clean figure","INC-0 behavior payoff budget","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","endpoint near target, not identical","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"FIG-R1-I1_INC_omega","results/r1/20260919-review-pack/figures/I1_INC_omega.png","R1 clean figure","different-game omega supplement","no (results ignored)","opened full resolution","clean MATLAB R2025b review pack","not a one-factor omega comparison","original image; paired visually with tracked figure","not remotely available; P1 differs materially in rendering, other groups are visually equivalent with render/metadata differences"
"RESULT-t1-t1_diagnostics-csv","results/r1/20260919-clean/t1/t1_diagnostics.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","4 lines; rcond/Jacobian/residual summaries read"
"RESULT-t1-t1_edge_correspondence-csv","results/r1/20260919-clean/t1/t1_edge_correspondence.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","22 lines; cube/prism edge pairs read"
"RESULT-t1-t1_face_correspondence-csv","results/r1/20260919-clean/t1/t1_face_correspondence.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","12 lines; face weight and subgame mappings read"
"RESULT-t1-t1_vertex_correspondence-csv","results/r1/20260919-clean/t1/t1_vertex_correspondence.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","15 lines; weights and mapped states read"
"RESULT-t1-t1_report-mat","results/r1/20260919-clean/t1/t1_report.mat","MAT result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","struct fields notation, parameters, cube, prism, application, nonlinear, mapping definitions and Hessian provenance"
"RESULT-s1-s1_branch_diagnostics-csv","results/r1/20260919-clean/s1/s1_branch_diagnostics.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","21 lines; 20 branch matrices/eigenstructure/cones/transitions read"
"RESULT-s1-s1_case_summary-csv","results/r1/20260919-clean/s1/s1_case_summary.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","6 lines; four stable plus one unstable and determinant ranges read"
"RESULT-s1-s1_report-mat","results/r1/20260919-clean/s1/s1_report.mat","MAT result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","1x5 struct; vertices, branches, vertex order, transition counts"
"RESULT-s2-s2_branch_diagnostics-csv","results/r1/20260919-clean/s2/s2_branch_diagnostics.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","21 lines; branch determinants/eigenvalues/corners read"
"RESULT-s2-s2_case_summary-csv","results/r1/20260919-clean/s2/s2_case_summary.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","6 lines; rank-zero locations, assumptions and theorem applicability read"
"RESULT-s2-s2_noncompact_summary-csv","results/r1/20260919-clean/s2/s2_noncompact_summary.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","4 lines; N1-N3 determinant signs and mixed-sign certificates read"
"RESULT-s2-s2_trajectory_summary-csv","results/r1/20260919-clean/s2/s2_trajectory_summary.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","37 lines; representative endpoints/Nash flags/max norms read"
"RESULT-s2-s2_report-mat","results/r1/20260919-clean/s2/s2_report.mat","MAT result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","struct fields degenerate and noncompact"
"RESULT-p1-p1_samples-csv","results/r1/20260919-clean/p1/p1_samples.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","9505 lines; schema plus beginning/end representative rows read"
"RESULT-p1-p1_summary-csv","results/r1/20260919-clean/p1/p1_summary.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","5 lines; derivative, weak, Gamma and Omega minima read"
"RESULT-p1-p1_report-mat","results/r1/20260919-clean/p1/p1_report.mat","MAT result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","1x4 struct; game, trajectories, payoff, own, externality, total rate and trap witness"
"RESULT-x1-x1_trajectories-csv","results/r1/20260919-clean/x1/x1_trajectories.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","5002 lines; x, eta(x), independent z, separation and certificates read"
"RESULT-x1-x1_report-mat","results/r1/20260919-clean/x1/x1_report.mat","MAT result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","struct fields source/order/rules, eta discrepancy, separation, norms, V, branch/boundary checks"
"RESULT-i1-i1_condition_checks-csv","results/r1/20260919-clean/i1/i1_condition_checks.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","3 lines; anchoring, margins, determinants, budget and target distance read"
"RESULT-i1-i1_trajectory_summary-csv","results/r1/20260919-clean/i1/i1_trajectory_summary.csv","CSV result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","3 lines; terminals, targets, aggregate transfer and omitted-omega comparison read"
"RESULT-i1-i1_report-mat","results/r1/20260919-clean/i1/i1_report.mat","MAT result","clean MATLAB nonfigure evidence","no (results ignored)","read","clean MATLAB R2025b output","module-specific diagnostics","CSV schema/row count/representative values; MAT v5 tags, dimensions and struct fields parsed","report fields INC0, INComega, same-game comparisons, sigma; incw parameter fields"
"R1-INDEX","results/r1/20260919-review-pack/R1_FIGURE_INDEX.csv","CSV index","18-figure role/status/claim-boundary map","no (results ignored)","read all 18 rows","R1 clean review pack","publication role and claim boundary","full text read","useful locally but unavailable to a new clone"
"R1-README","results/r1/20260919-review-pack/README.md","runtime documentation","R1 pack boundary","no (results ignored)","read","R1 clean review pack","pack is local and not publication bundle","full text read","boundary is clear locally"
"R1-MAT","results/r1/20260919-review-pack/r1_review_report.mat","MAT result","integrated pack metadata","no (results ignored)","read structure","MATLAB R2025b","18 figures and artifact count","MAT v5 structure parsed","fields include MATLAB version, computer, roots, counts and files"
"MANIFEST-T2.1","audit/FIGURE_MANIFEST.md#T2.1","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T2.2","audit/FIGURE_MANIFEST.md#T2.2","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T2.3","audit/FIGURE_MANIFEST.md#T2.3","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T2.4","audit/FIGURE_MANIFEST.md#T2.4","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T2.5","audit/FIGURE_MANIFEST.md#T2.5","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T2.6","audit/FIGURE_MANIFEST.md#T2.6","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.1","audit/FIGURE_MANIFEST.md#T3.1","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.2","audit/FIGURE_MANIFEST.md#T3.2","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.3","audit/FIGURE_MANIFEST.md#T3.3","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.4","audit/FIGURE_MANIFEST.md#T3.4","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.5","audit/FIGURE_MANIFEST.md#T3.5","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.6","audit/FIGURE_MANIFEST.md#T3.6","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.7","audit/FIGURE_MANIFEST.md#T3.7","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T3.8","audit/FIGURE_MANIFEST.md#T3.8","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T4.1","audit/FIGURE_MANIFEST.md#T4.1","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T4.2","audit/FIGURE_MANIFEST.md#T4.2","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T4.3","audit/FIGURE_MANIFEST.md#T4.3","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T5.1","audit/FIGURE_MANIFEST.md#T5.1","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T5.2","audit/FIGURE_MANIFEST.md#T5.2","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T5.3","audit/FIGURE_MANIFEST.md#T5.3","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T5.4","audit/FIGURE_MANIFEST.md#T5.4","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T5.5","audit/FIGURE_MANIFEST.md#T5.5","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-T5.6","audit/FIGURE_MANIFEST.md#T5.6","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-E1","audit/FIGURE_MANIFEST.md#E1","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-E2","audit/FIGURE_MANIFEST.md#E2","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-E3","audit/FIGURE_MANIFEST.md#E3","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-E4","audit/FIGURE_MANIFEST.md#E4","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-E5","audit/FIGURE_MANIFEST.md#E5","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-E6","audit/FIGURE_MANIFEST.md#E6","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
