path,experiment,purpose_inputs_outputs_dependencies,helper_calls,run_status,normalized_text_sha256
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/testfun2_2.m,T4.3 / T5.1 / T5.4–6 / S-INC,scaled-gradient RHS 第二分量,testfun2_2,静态审阅；未在干净 MATLAB 会话执行,9f85ef59b124b270947d0b62c5fd8569d9dd57e8e237898d43bd6b5bb17f6432
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/trap_of_weak_Pareto_improvement/testfun1.m,T4.3 / T5.1 / T5.4–6 / S-INC,给定第一坐标和两条行，求第二坐标与另一截距；非 payoff evaluator,testfun1,静态审阅；未在干净 MATLAB 会话执行,4e8457a3b6839b34630b7b4c056ff90b8e3f3261d391a86f1cb42b4066ba1f9f
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/trap_of_weak_Pareto_improvement/testfun2.m,T4.3 / T5.1 / T5.4–6 / S-INC,"二维 RHS，比较 scaled gradients；A,b,x,alpha12/22 -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,b06396e85620fc37e1d8a48cc42d78b2e4b54b9d9c9e170f59af1a345bcec8be
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/trap_of_weak_Pareto_improvement/testfun2_1.m,T4.3 / T5.1 / T5.4–6 / S-INC,scaled-gradient RHS 第一分量,testfun2_1,静态审阅；未在干净 MATLAB 会话执行,11908ae282d754e26050601c2d65b81cd32ae69362dd7300fec34bc14c078f5e
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/trap_of_weak_Pareto_improvement/testfun2_2.m,T4.3 / T5.1 / T5.4–6 / S-INC,scaled-gradient RHS 第二分量,testfun2_2,静态审阅；未在干净 MATLAB 会话执行,9f85ef59b124b270947d0b62c5fd8569d9dd57e8e237898d43bd6b5bb17f6432
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/trap_of_weak_Pareto_improvement/trap.m,T5.1,自含陷阱游戏/初值/灵敏度；ode45 相图+原 payoff；需要同目录 helpers,testfun1;testfun2;testfun2_1;testfun2_2,静态审阅；未在干净 MATLAB 会话执行,85401a2fbc444043203fc45a2c6fcc4a77ce33ed4cd95db969eaed2f26f67ce7
source_material/legacy_matlab/simulation_summary/acc2024/cube/test4.m,T2.3,权重网格到三维 Nash 实体；硬编码 own-row；固定 A 仅加权 b 的缺陷,,静态审阅；未在干净 MATLAB 会话执行,9e85e912b065f901475644a4075c4746c6e82f7611ad01dfc4c6dca403ec970d
source_material/legacy_matlab/simulation_summary/acc2024/cube/test4_1.m,T2.3,两张权重边界面的像；硬编码 own-row；固定 A 仅加权 b 的缺陷,,静态审阅；未在干净 MATLAB 会话执行,c68d3d11bba89c452ac42ea9d8edd6e4cbc856a26f5a24f597b658c60faa1ed8
source_material/legacy_matlab/simulation_summary/acc2024/cube/test4_2.m,T2.3,四张权重边界面的像；硬编码 own-row；固定 A 仅加权 b 的缺陷,,静态审阅；未在干净 MATLAB 会话执行,71655b5464501cb86c7fdf5467cea3bc3a520e9627b941fc4a320e67a342c44e
source_material/legacy_matlab/simulation_summary/acc2024/triangular prism/test6.m,T2.4,prism 实体及边；输入硬编码 own-row，输出三维散点；A/b 均加权,,静态审阅；未在干净 MATLAB 会话执行,46a4c1575e3ffd11aa689270e070d766236c9042da1a65397e26223da390063e
source_material/legacy_matlab/simulation_summary/acc2024/triangular prism/test7.m,T2.4,两张端面；输入硬编码 own-row，输出三维散点；A/b 均加权,,静态审阅；未在干净 MATLAB 会话执行,cf010791481492030fb4bc23ca9629481ab06aa711c2a28f9480c09c73cd85c6
source_material/legacy_matlab/simulation_summary/acc2024/triangular prism/test7_1.m,T2.4,三张侧面；输入硬编码 own-row，输出三维散点；A/b 均加权,,静态审阅；未在干净 MATLAB 会话执行,667ab8dbf6271ad4b7d352de8ad83fa7957fb264939b5fc3d1ffc2c8ada52a2b
source_material/legacy_matlab/simulation_summary/acc2025/incentive_deisgn/test5_1.m,S-INC,集中式全四目标加权最优解散点与 Nash BR；循环含全零权重奇异点,testfun1,静态审阅；未在干净 MATLAB 会话执行,d78a21afc50bb68297ef252fc3153c95d3b8a8f70ffd81840955838f8ef47d93
source_material/legacy_matlab/simulation_summary/acc2025/incentive_deisgn/test5_2.m,S-INC,U/Jsum/budget 初值水平集和目标，硬编码参数,testfun1,静态审阅；未在干净 MATLAB 会话执行,7660d52ffe609125a7fd5612bd7c20bb654b15a7beef91f860ec896557471385
source_material/legacy_matlab/simulation_summary/acc2025/incentive_deisgn/test5_3.m,S-INC,原/激励系统 ode45、相图、原及改造 payoff 增量与 aggregate p；p 漏 omega 项,testfun1;testfun2,静态审阅；未在干净 MATLAB 会话执行,e06012103876122175001ed7ecbd4a40d57732e522dcd79bd5b6ecd48d92eb45
source_material/legacy_matlab/simulation_summary/acc2025/incentive_deisgn/testfun2.m,T4.3 / T5.1 / T5.4–6 / S-INC,"二维 RHS，比较 scaled gradients；A,b,x,alpha12/22 -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,b06396e85620fc37e1d8a48cc42d78b2e4b54b9d9c9e170f59af1a345bcec8be
source_material/legacy_matlab/simulation_summary/cdc2023/case1.m,T3.6,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,5b7cc6c5922bd4175c497bc3d6f2d5ff2a9fb15a5ae3b8b6844794d3dad212ae
source_material/legacy_matlab/simulation_summary/cdc2023/case2.m,T3.6,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,401f00b1372e6a92453275f145b8ae3211584ed371719a3cf0e5038b0d36929d
source_material/legacy_matlab/simulation_summary/cdc2023/case3.m,T3.6,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,baef77bde1d19065bd5b559535b5b1ff88e1037bc8c391cedec969fa2f967be4
source_material/legacy_matlab/simulation_summary/cdc2023/case4.m,T3.6,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,a4e9f3fc2d9659d5e01ee2d814e4255f67a6ad0fc980ebddcedf5913937991a9
source_material/legacy_matlab/simulation_summary/cdc2023/case5.m,T3.6,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,c5b76bca441adbd05b6b16cf0763b46e8063ceb6610a31a8bbedd7c92e02237f
source_material/legacy_matlab/simulation_summary/cdc2024/test10_1.m,T4.3(b/c) / S-CDC,自含弱改进参数；ode45 相轨迹及几何,testfun2,静态审阅；未在干净 MATLAB 会话执行,aefdd147f8ac846e4b74a79d3070fe3eb1e490ffda028f31cd4fd2794e6a0334
source_material/legacy_matlab/simulation_summary/cdc2024/test10_2.m,T4.3(b/c) / S-CDC,依赖 test10_1 工作区；payoff 增量，J11 放大5倍,,静态审阅；未在干净 MATLAB 会话执行,05daf659875ee99aa999176497ab1d1e7515a348103eef5a743e69698b30fafc
source_material/legacy_matlab/simulation_summary/cdc2024/test6_4_1.m,T4.3(b/c) / S-CDC,自含强改进变体；ode45 相轨迹/BR/外部导数零线,testfun2,静态审阅；未在干净 MATLAB 会话执行,ff7b8605cf9bc01af9f1af99068ae587fab6f83b79723db4d43a36f9ef05f28e
source_material/legacy_matlab/simulation_summary/cdc2024/test6_4_2.m,T4.3(b/c) / S-CDC,依赖先前 xt/t/A/b；原 hJ 与倍乘 J 的探索性 payoff 比较，不是独立强改进入口,,静态审阅；未在干净 MATLAB 会话执行,8c82805c474b12e17e9c2a29f59651498e96278fc2e5991666a4a3a1a5ab8fc0
source_material/legacy_matlab/simulation_summary/cdc2024/testfun2.m,T4.3 / T5.1 / T5.4–6 / S-INC,"二维 RHS，比较 scaled gradients；A,b,x,alpha12/22 -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,8769995dd91516d703e0f613f760804b59bc843a2fa81a0adc1985df649a06e6
source_material/legacy_matlab/simulation_summary/ecc2026/Solve_lmi.m,S-ECC,依赖工作区参数及 YALMIP/SDP solver；输出 T；与论文严格 LMI 不同,,静态审阅；未在干净 MATLAB 会话执行,f01319f531815df34319b8f48ac7521bd5f139ece7b0588187ae561eca5e64f0
source_material/legacy_matlab/simulation_summary/ecc2026/image_of_original_trajectory.m,S-ECC,依赖原轨迹/初值/时间；eta(xt) 与独立变换 ODE；缺失 testfun3,testfun2_1;testfun3;testfun4,静态审阅；未在干净 MATLAB 会话执行,13961686d7bab718d74758544f18584b5221d42e84225fc9eee9e1d797e285eb
source_material/legacy_matlab/simulation_summary/ecc2026/level_sets_for_original_transformed_system.m,S-ECC,实际为 Solve_lmi 重复副本，不是等高线入口,,静态审阅；未在干净 MATLAB 会话执行,f01319f531815df34319b8f48ac7521bd5f139ece7b0588187ae561eca5e64f0
source_material/legacy_matlab/simulation_summary/ecc2026/original_trajectory.m,S-ECC,"硬编码 A,b,alpha,x0；ode45 原系统与场图",testfun2;testfun2_1;testfun2_2,静态审阅；未在干净 MATLAB 会话执行,e60ede70c165210eb6444ec6fa17183a86e1dfdf1b6c9c25a51bd77a24bb970e
source_material/legacy_matlab/simulation_summary/ecc2026/testfun2.m,E6 / S-ECC,"原坐标二维 RHS，最近 BR 距离分支；A,b,x,四个 alpha -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,b85c36a93666342c29643fa1f112673588eef8501ee914f6c5c1d854f9b1a686
source_material/legacy_matlab/simulation_summary/ecc2026/testfun2_1.m,E6 / S-ECC,"同 RHS 第一分量；A11,A12,b11,b12,x,两 alpha -> f1",testfun2_1,静态审阅；未在干净 MATLAB 会话执行,db77cbdf4a939fbe64b2cfee0d0785113e4aa85e44294470437d86394167fe8a
source_material/legacy_matlab/simulation_summary/ecc2026/testfun2_2.m,E6 / S-ECC,"同 RHS 第二分量；A21,A22,b21,b22,x,两 alpha -> f2",testfun2_2,静态审阅；未在干净 MATLAB 会话执行,857208944ed78d5dd672ba0fd1d4cdf3fb1f21740933be3e0b1b9725ed4a9341
source_material/legacy_matlab/simulation_summary/ecc2026/testfun3_3.m,E6 / S-ECC,"分支逆变换候选；A,b,变换状态 -> 原状态；轴上错误坍缩到原点",testfun3_3,静态审阅；未在干净 MATLAB 会话执行,04ec39495fe67c2221693a45e57f9241301fc7c1ab2a39605e99e322847d4dd7
source_material/legacy_matlab/simulation_summary/ecc2026/testfun4.m,E6 / S-ECC,"eta 坐标映射；A,b,x -> 最近 BR 有符号距离，strip -> 0",testfun4,静态审阅；未在干净 MATLAB 会话执行,6f688e2ca76316b47d55bdadf5da76d14fd602f84e18eb953b27a28ce41106ed
source_material/legacy_matlab/simulation_summary/ecc2026/transformed_dynamics_trajectory.m,S-ECC,Pull back existing xct with testfun3_3 and overlay in original coordinates; requires workspace xt/xct/BR/field grids. No independent ODE here; upstream image script is blocked by missing testfun3.,testfun3_3,静态审阅；未在干净 MATLAB 会话执行,8443e65e9272c27bb4d47cdb81cc038ea76ffb60a3280e4c8bfc787f6868da9e
source_material/legacy_matlab/simulation_summary/ifac2023/case1.m,T3.5,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,bfcd6de2ee6b88ddaae0772b2ffe1eac10c32377e998e620641026faa1b08d1b
source_material/legacy_matlab/simulation_summary/ifac2023/case2.m,T3.5,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,595fa808e8fb57197f106cc8d6a4d5c781c43ef6114e177ee174c70eaa0c6186
source_material/legacy_matlab/simulation_summary/ifac2023/case3.m,T3.5,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,19e79748a079ff8c5dd14907261535c90b6c2e8052d053c3b1fd26cb1472992f
source_material/legacy_matlab/simulation_summary/ifac2023/case4.m,T3.5,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,32b083c0e6cf5d83559c3208a19fa3fd8d827876453b2add0a40e087ef866002
source_material/legacy_matlab/simulation_summary/ifac2023/case5.m,T3.5,自含 BR 行/截距与场图；输入硬编码参数；输出 Nash 几何/向量场，无时间轨迹,,静态审阅；未在干净 MATLAB 会话执行,325c36229a57387f2664fd146eaaff2facfbbe1abdf8ef14d406f3b1dce88228
source_material/legacy_matlab/simulation_summary/ifac_extention/Solve_lmi.m,E6,依赖工作区参数及 YALMIP/SDP solver；输出 T；与论文严格 LMI 不同,,静态审阅；未在干净 MATLAB 会话执行,f01319f531815df34319b8f48ac7521bd5f139ece7b0588187ae561eca5e64f0
source_material/legacy_matlab/simulation_summary/ifac_extention/image_of_original_trajectory.m,E6,依赖原轨迹/初值/时间；eta(xt) 与独立变换 ODE；缺失 testfun3,testfun2_1;testfun3;testfun4,静态审阅；未在干净 MATLAB 会话执行,ffeba1f0d055b6b4b66389a03977614e7a85f1656aba8156d8cea039e5682159
source_material/legacy_matlab/simulation_summary/ifac_extention/level_sets_for_original_transformed_system.m,E6,依赖 T、轨迹与参数；分片二次型/拉回等高线,testfun7,静态审阅；未在干净 MATLAB 会话执行,62520d9304ac628e37e750e6cafd2952d21eabe508398eda8ee4cc0f95b7a19e
source_material/legacy_matlab/simulation_summary/ifac_extention/original_trajectory.m,E6,"硬编码 A,b,alpha,x0；ode45 原系统与场图；未定义 V/levels 的 contour 阻断干净执行",testfun2;testfun2_1;testfun2_2,静态审阅；未在干净 MATLAB 会话执行,a4d88ab286f6488da6c432c7ec387d482d900a21985ddf936003d2a4f424080f
source_material/legacy_matlab/simulation_summary/ifac_extention/preimage_of_transformed_trajectory.m,E6,依赖 xct/xt/网格；testfun3_3 分支拉回与场图,testfun3_3,静态审阅；未在干净 MATLAB 会话执行,0a9744901f368b40967a94d0d7d880d2d7fa2ac253d15399db3e0d7882dc0d6c
source_material/legacy_matlab/simulation_summary/ifac_extention/testfun2.m,E6 / S-ECC,"原坐标二维 RHS，最近 BR 距离分支；A,b,x,四个 alpha -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,b85c36a93666342c29643fa1f112673588eef8501ee914f6c5c1d854f9b1a686
source_material/legacy_matlab/simulation_summary/ifac_extention/testfun2_1.m,E6 / S-ECC,"同 RHS 第一分量；A11,A12,b11,b12,x,两 alpha -> f1",testfun2_1,静态审阅；未在干净 MATLAB 会话执行,db77cbdf4a939fbe64b2cfee0d0785113e4aa85e44294470437d86394167fe8a
source_material/legacy_matlab/simulation_summary/ifac_extention/testfun2_2.m,E6 / S-ECC,"同 RHS 第二分量；A21,A22,b21,b22,x,两 alpha -> f2",testfun2_2,静态审阅；未在干净 MATLAB 会话执行,857208944ed78d5dd672ba0fd1d4cdf3fb1f21740933be3e0b1b9725ed4a9341
source_material/legacy_matlab/simulation_summary/ifac_extention/testfun3_3.m,E6 / S-ECC,"分支逆变换候选；A,b,变换状态 -> 原状态；轴上错误坍缩到原点",testfun3_3,静态审阅；未在干净 MATLAB 会话执行,04ec39495fe67c2221693a45e57f9241301fc7c1ab2a39605e99e322847d4dd7
source_material/legacy_matlab/simulation_summary/ifac_extention/testfun4.m,E6 / S-ECC,"eta 坐标映射；A,b,x -> 最近 BR 有符号距离，strip -> 0",testfun4,静态审阅；未在干净 MATLAB 会话执行,6f688e2ca76316b47d55bdadf5da76d14fd602f84e18eb953b27a28ce41106ed
